error_code,amount,retry_count,gateway_health,time_since_failure,customer_history,previous_attempt_result,recovered
E02,4335.94,0,0.601,2718,0.796,0,1
E01,8484.48,0,0.434,2187,0.874,1,1
E02,3695.87,2,0.504,2057,0.091,0,0
E02,6988.62,2,0.533,333,0.964,1,1
E01,5933.53,1,0.445,2627,0.822,0,1
E03,3537.37,2,0.77,3497,0.621,1,0
E01,2836.41,2,0.474,1311,0.113,1,1
E01,6562.16,2,0.857,439,0.276,0,1
E01,1422.88,0,0.571,771,0.376,1,1
E02,8615.21,2,0.703,2378,0.856,1,0
E01,5806.79,2,0.958,2313,0.765,1,1
E02,1203.88,1,0.557,3199,0.934,0,1
E01,7064.92,1,0.336,1462,0.447,1,0
E03,4368.01,2,0.64,3185,0.912,0,0
E99,2120.41,1,0.597,992,0.892,1,1
E02,9614.59,1,0.826,1844,0.067,1,0
E03,7224.51,2,0.888,2370,0.275,0,0
E99,5970.64,2,0.77,999,0.802,0,0
E99,8503.79,0,0.977,1328,0.675,0,0
E03,5484.31,2,0.415,2980,0.26,0,0
E99,4470.56,0,0.391,2080,0.785,1,0
E99,1975.52,1,0.433,2205,0.348,0,0
E03,1618.57,0,0.737,2245,0.616,0,0
E02,4376.5,2,0.386,2847,0.929,1,0
E01,4614.15,2,0.271,3497,0.275,0,0
E01,7359.79,1,0.982,1440,0.102,0,0
E02,4476.64,1,0.452,1276,0.671,0,1
E02,5972.28,1,0.378,3288,0.735,1,0
E02,8341.93,0,0.487,1725,0.344,0,0
E02,9934.01,1,0.327,3346,0.49,1,0
E02,3293.0,2,0.229,3174,0.521,0,0
E03,9029.35,0,0.444,2654,0.817,0,0
E01,8079.9,1,0.47,2593,0.701,1,1
E01,773.27,0,0.849,3393,0.307,0,0
E03,3408.17,0,0.549,986,0.307,0,0
E03,2268.53,2,0.789,1633,0.355,1,1
E99,6677.4,1,0.789,1965,0.187,0,1
E99,5597.46,1,0.831,700,0.176,1,0
E99,4999.03,1,0.935,1863,0.818,1,1
E01,7659.28,2,0.599,2361,0.832,0,1
E02,3399.76,0,0.283,1812,0.294,0,0
E01,3889.25,1,0.231,2352,0.849,0,0
E03,8669.78,0,0.35,366,0.586,0,0
E99,9724.86,2,0.863,1769,0.719,1,0
E01,7785.94,2,0.659,3345,0.878,1,0
E02,2249.0,2,0.312,938,0.34,1,0
E01,1215.25,0,0.306,1641,0.672,1,1
E01,2171.13,0,0.913,2248,0.34,0,1
E01,4285.34,1,0.616,2252,0.899,1,1
E01,2443.3,1,0.338,651,0.332,1,1
E99,9020.31,2,0.917,407,0.638,0,0
E02,6740.16,2,0.777,2712,0.23,0,1
E03,4225.62,1,0.582,1919,0.398,1,0
E03,2810.74,0,0.572,3264,0.38,0,1
E01,3868.54,0,0.738,3564,0.755,0,0
E01,4812.9,1,0.471,600,0.319,0,1
E03,7166.84,0,1.0,1300,0.358,1,0
E01,984.48,0,0.828,2953,0.059,1,1
E99,8503.45,0,0.713,1060,0.347,0,0
E01,1362.84,0,0.75,715,0.306,1,1
E03,2698.26,1,0.997,562,0.562,1,1
E03,9936.54,2,0.209,1802,0.428,0,0
E01,1983.07,2,0.218,1375,0.972,1,0
E01,1101.31,2,0.828,3345,0.563,1,0
E99,6420.21,1,0.368,3473,0.118,0,0
E01,3991.98,2,0.748,298,0.811,0,1
E02,1009.17,0,0.603,3251,0.1,0,0
E02,137.05,0,0.455,324,0.837,0,0
E01,883.7,2,0.385,2588,0.431,1,0
E03,5275.08,2,0.821,3451,0.108,0,0
E03,2385.84,2,0.337,1245,0.969,1,0
E02,7797.77,1,0.327,572,0.516,1,1
E03,8589.34,0,0.554,238,0.854,1,0
E01,1533.85,2,0.295,1232,0.445,1,1
E01,3436.5,0,0.713,3428,0.484,0,1
E02,1551.08,0,0.994,1652,0.391,0,0
E99,2938.26,2,0.798,1505,0.397,0,0
E01,2468.12,0,0.683,25,0.796,0,1
E01,7889.96,0,0.516,2399,0.079,1,1
E02,3520.25,2,0.99,677,0.51,0,1
E03,5006.09,2,0.904,2480,0.3,0,1
E01,6771.56,2,0.856,2982,0.573,1,0
E02,8240.34,0,0.384,2787,0.252,0,0
E03,3081.97,0,0.299,1868,0.378,0,0
E02,2171.28,2,0.342,2340,0.551,0,0
E01,9786.69,0,0.407,1418,0.747,1,1
E01,3269.46,0,0.265,2552,0.939,1,0
E02,6743.57,1,0.911,2455,0.279,1,1
E02,6810.63,1,0.348,678,0.504,0,0
E99,5188.89,2,0.381,1169,0.378,1,0
E03,2361.63,1,0.911,2791,0.62,1,0
E03,1500.43,2,0.967,1579,0.394,0,0
E99,4921.46,1,0.377,849,0.141,1,0
E02,5158.2,2,0.435,3577,0.628,0,0
E02,7756.33,1,0.84,3124,0.083,0,0
E99,7127.35,2,0.976,2787,0.09,1,1
E01,9129.21,2,0.72,1519,0.881,1,1
E03,9711.52,2,0.554,1994,0.868,1,0
E03,7305.73,1,0.74,3404,0.579,1,0
E01,857.46,1,0.824,1896,0.067,1,0
E02,4110.67,1,0.29,2970,0.373,1,0
E01,6127.14,0,0.548,3039,0.375,1,0
E01,5942.93,0,0.886,2896,0.728,0,1
E02,1896.29,2,0.764,2163,0.813,1,0
E01,5871.15,0,0.323,1242,0.383,1,0
E03,3561.84,1,0.804,1222,0.446,0,0
E99,3455.38,1,0.734,2920,0.261,0,0
E03,8356.67,1,0.412,1504,0.734,1,0
E01,4277.14,2,0.475,890,0.378,1,0
E01,5321.22,0,0.452,661,0.713,0,1
E01,5672.44,2,0.995,2216,0.714,1,1
E01,5673.67,2,0.347,3454,0.197,1,0
E99,2209.9,2,0.864,1363,0.882,0,0
E02,6034.59,2,0.625,2348,0.825,1,0
E01,3412.77,1,0.904,1112,0.598,1,1
E03,6584.7,1,0.985,1435,0.131,0,0
E02,1542.41,2,0.969,1470,0.207,1,0
E01,9941.74,2,0.883,1296,0.137,0,0
E01,7743.23,0,0.531,3050,0.486,0,0
E03,4230.79,1,0.417,3265,0.3,0,0
E03,3083.38,1,0.456,969,0.831,0,0
E01,3939.24,0,0.723,1297,0.46,0,1
E99,7239.96,0,0.473,72,0.475,1,0
E99,6588.54,0,0.548,2723,0.917,0,0
E03,7050.72,2,0.264,2548,0.593,0,0
E01,8901.09,1,0.817,3007,0.414,0,1
E01,4617.32,1,0.289,2015,0.974,0,1
E99,6728.26,0,0.47,3275,0.485,0,1
E01,4470.93,1,0.672,508,0.595,1,1
E03,6417.17,2,0.625,1343,0.409,0,0
E03,4800.75,2,0.915,1613,0.679,1,0
E01,7788.97,2,0.727,2755,0.779,0,0
E03,152.08,0,0.831,790,0.641,0,0
E99,2235.54,1,0.443,1177,0.284,1,0
E03,3034.73,1,0.306,339,0.936,0,0
E02,9459.41,2,0.795,3398,0.531,0,0
E99,5119.76,2,0.323,1632,0.826,0,0
E02,3707.08,2,0.867,41,0.058,1,1
E03,4102.69,0,0.954,847,0.537,0,0
E03,4573.04,1,0.426,2053,0.929,1,0
E03,8691.52,2,0.809,1769,0.697,0,1
E01,9627.13,0,0.55,1836,0.157,1,1
E01,8457.23,1,0.439,225,0.717,1,1
E01,8432.4,0,0.545,3159,0.064,1,1
E02,2070.25,0,0.717,2986,0.397,0,0
E02,2759.91,1,0.99,779,0.273,0,0
E02,6000.89,1,0.44,1320,0.287,1,1
E02,6595.76,1,0.765,315,0.089,1,1
E03,2106.78,0,0.468,460,0.63,1,0
E99,7488.19,2,0.401,3047,0.747,0,0
E01,2079.64,1,0.705,410,0.324,1,1
E03,2703.81,2,0.809,1261,0.602,0,1
E03,3137.28,2,0.774,3576,0.518,0,0
E02,8475.32,1,0.954,1170,0.984,0,1
E01,7347.63,0,0.286,2473,0.814,1,0
E03,5353.79,0,0.633,380,0.939,1,1
E99,8215.52,2,0.433,3145,0.825,0,0
E03,8147.99,0,0.854,3312,0.668,0,0
E99,3959.35,1,0.25,3285,0.117,0,0
E99,7836.23,1,0.341,2279,0.856,0,0
E02,2141.8,2,0.818,3499,0.765,1,1
E03,5081.97,2,0.484,2492,0.315,0,0
E02,1270.59,1,0.745,1354,0.303,1,1
E99,4325.27,2,0.999,3232,0.543,0,0
E01,5251.62,1,0.568,984,0.316,0,1
E02,891.19,1,0.626,3038,0.962,0,0
E99,4679.87,2,0.98,3350,0.232,1,1
E01,6551.54,2,0.797,1627,0.194,0,0
E03,6179.47,0,0.357,836,0.091,1,1
E02,638.1,1,0.843,576,0.569,1,0
E99,1043.86,2,0.613,1935,0.746,1,0
E99,3578.43,0,0.83,2420,0.601,1,1
E01,8442.59,1,0.679,2124,0.246,1,1
E03,8710.58,0,0.382,2342,0.918,1,0
E01,3165.17,2,0.852,92,0.407,1,0
E03,7217.03,0,0.202,170,0.182,1,0
E03,5816.17,1,0.91,947,0.23,1,0
E03,9835.88,0,0.855,3237,0.462,1,1
E01,1036.97,2,0.976,1815,0.562,1,1
E01,5524.02,0,0.228,1207,0.615,0,1
E03,5966.12,1,0.55,2395,0.119,1,0
E02,3145.92,2,0.335,1544,0.865,1,0
E02,564.84,1,0.499,517,0.366,1,0
E01,615.83,0,0.488,1850,0.294,0,0
E01,4590.82,2,0.678,2511,0.696,0,0
E99,6955.49,0,0.55,3283,0.627,1,1
E01,7031.74,1,0.972,1325,0.983,1,1
E02,1891.6,0,0.422,614,0.436,0,1
E99,8593.92,2,0.535,3116,0.222,1,0
E01,3833.91,0,0.761,1327,0.964,0,1
E03,9647.24,2,0.421,568,0.503,0,0
E01,1269.78,0,0.779,1805,0.672,0,0
E99,8380.9,2,0.767,216,0.09,1,0
E03,9092.55,0,0.77,3570,0.366,0,0
E99,8244.49,0,0.74,2806,0.978,1,0
E01,8107.53,0,0.854,1583,0.957,1,1
E02,3676.97,2,0.996,1963,0.975,0,1
E03,7162.1,2,0.244,1435,0.824,1,0
E01,5835.53,1,0.598,1688,0.52,0,0
E01,4302.34,1,0.85,3366,0.588,1,1
E01,9931.81,0,0.2,2614,0.12,1,1
E99,2975.5,0,0.636,2381,0.796,1,0
E03,4190.13,1,0.728,3516,0.754,0,0
E03,9038.32,1,0.353,589,0.716,1,0
E03,2961.18,2,0.521,3269,0.41,0,0
E02,1611.54,0,0.832,633,0.3,1,1
E02,3169.0,0,0.253,934,0.811,0,1
E02,7617.19,1,0.308,2320,0.966,1,0
E03,8612.55,0,0.854,492,0.448,1,0
E01,1233.01,1,0.847,1681,0.102,1,1
E99,6254.96,2,0.672,1210,0.897,0,0
E03,5716.14,2,0.533,33,0.698,0,0
E01,6721.1,1,0.285,661,0.681,0,0
E02,6743.46,2,0.849,1615,0.938,1,0
E01,9598.73,0,0.393,304,0.68,0,1
E99,3530.64,2,0.931,3382,0.63,1,1
E99,3067.69,2,0.821,1544,0.718,1,0
E99,5854.13,0,0.265,2690,0.505,0,0
E01,4351.24,2,0.708,736,0.32,0,0
E01,4790.17,1,0.937,2011,0.287,0,0
E01,785.84,2,0.903,409,0.733,0,0
E01,1567.6,0,0.691,703,0.278,1,0
E01,9360.21,2,0.338,2463,0.925,1,0
E01,776.09,2,0.744,1208,0.429,1,1
E99,5942.44,2,0.733,3537,0.646,0,0
E01,7570.29,0,0.671,3587,0.09,0,1
E01,217.45,0,0.413,475,0.472,0,1
E03,2305.21,1,0.92,2372,0.426,0,0
E02,3833.01,1,0.602,2818,0.759,0,0
E03,5117.49,0,0.438,995,0.102,1,0
E03,3481.79,2,0.404,3029,0.428,0,0
E99,6525.09,1,0.425,2657,0.857,1,0
E03,2341.34,1,0.569,1169,0.678,1,0
E02,352.28,0,0.385,329,0.781,0,1
E03,115.55,2,0.614,1596,0.767,1,0
E02,3520.57,1,0.354,1334,0.672,1,0
E01,3680.46,0,0.417,1901,0.418,0,0
E02,9491.18,2,0.296,825,0.425,1,1
E01,543.33,0,0.486,1123,0.098,1,1
E03,5347.64,1,0.525,3225,0.233,0,1
E01,5820.35,1,0.523,3032,0.575,1,0
E01,7022.82,0,0.78,2646,0.891,0,0
E01,6423.47,2,0.587,1270,0.625,0,0
E03,180.58,0,0.754,1791,0.414,0,1
E01,6355.39,2,0.227,1055,0.832,1,0
E03,3291.64,2,0.549,1468,0.472,1,1
E99,7751.4,0,0.272,1862,0.294,0,0
E01,1964.82,1,0.57,3091,0.125,1,0
E03,7190.44,0,0.692,2865,0.829,1,0
E01,6292.4,1,0.837,704,0.629,1,1
E01,6557.68,1,0.64,3403,0.596,1,0
E03,1841.88,1,0.504,270,0.727,1,0
E99,6724.82,2,0.412,173,0.619,1,0
E01,7396.09,1,0.966,3066,0.379,0,1
E02,4945.16,2,0.359,1020,0.631,1,1
E01,3469.62,1,0.234,3083,0.182,0,0
E02,1748.89,1,0.301,249,0.328,0,1
E03,2970.61,0,0.998,875,0.555,1,1
E03,7661.9,0,0.925,2970,0.115,0,0
E03,4153.07,1,0.456,703,0.822,0,0
E01,7056.86,1,0.203,1869,0.092,1,0
E03,7426.9,1,0.814,2596,0.4,1,0
E03,6774.29,2,0.44,1256,0.477,0,1
E03,6768.03,0,0.218,517,0.69,1,1
E01,6147.0,1,0.565,2999,0.196,1,0
E02,5232.38,2,0.539,2239,0.822,0,0
E02,2058.39,1,0.489,3283,0.451,1,0
E01,8443.75,0,0.723,2524,0.286,0,0
E01,9646.22,1,0.781,2680,0.142,0,0
E02,4718.19,0,0.647,2239,0.92,1,0
E03,9339.06,0,0.211,2412,0.429,1,0
E01,9980.15,2,0.218,1537,0.408,0,0
E03,4913.34,1,0.905,3336,0.219,1,1
E02,7271.12,2,0.349,2938,0.526,0,0
E03,6473.52,2,0.518,873,0.351,0,0
E02,2448.92,0,0.283,3348,0.206,1,0
E02,566.19,2,0.383,843,0.758,0,0
E03,4588.22,2,0.588,2540,0.894,0,1
E99,7893.33,0,0.388,3315,0.381,0,0
E02,3318.83,0,0.727,1508,0.319,0,1
E02,7865.94,2,0.494,666,0.401,0,0
E03,6582.54,2,0.831,3584,0.919,1,1
E03,6985.86,0,0.682,2857,0.599,0,1
E01,2928.83,1,0.403,1618,0.206,0,1
E02,4753.47,2,0.847,3568,0.645,0,0
E02,1898.87,2,0.946,419,0.427,0,1
E99,2541.15,2,0.296,1898,0.066,0,0
E02,989.52,1,0.736,658,0.962,1,1
E02,1355.06,0,0.705,666,0.158,1,1
E99,2184.08,1,0.736,1253,0.439,0,0
E02,5844.32,2,0.225,2067,0.668,0,0
E01,4467.99,2,0.223,616,0.601,0,1
E01,2742.7,1,0.436,1873,0.054,0,1
E01,8625.01,0,0.264,2802,0.621,1,1
E01,5298.96,1,0.493,529,0.734,0,1
E02,9238.78,0,0.898,51,0.848,1,1
E03,6386.15,1,0.484,2689,0.223,0,0
E03,256.3,1,0.514,1461,0.085,0,0
E01,9143.41,1,0.414,685,0.938,0,0
E02,8588.89,1,0.537,3161,0.69,1,0
E01,6389.19,1,0.838,1538,0.478,1,0
E99,5394.26,0,0.865,424,0.732,0,1
E01,4583.97,2,0.537,1112,0.198,1,1
E03,4873.53,1,0.517,2074,0.951,1,0
E01,7715.28,1,0.356,1048,0.665,1,0
E03,5180.1,1,0.98,3361,0.874,1,1
E02,1842.64,0,0.449,2258,0.573,1,1
E03,675.96,1,0.474,258,0.803,1,1
E01,1349.24,1,0.544,1250,0.358,1,1
E99,2589.27,2,0.264,1259,0.175,0,0
E02,3740.57,1,0.463,526,0.383,1,1
E03,8934.92,1,0.944,136,0.893,0,1
E03,2466.96,0,0.26,404,0.706,1,0
E99,3264.03,1,0.392,2456,0.479,0,0
E01,2307.84,2,0.374,894,0.271,0,0
E01,5502.84,1,0.388,1503,0.612,1,1
E01,6209.16,1,0.964,514,0.607,1,1
E01,5368.06,0,0.767,3410,0.549,1,1
E02,9523.38,1,0.936,3551,0.744,0,1
E99,9954.24,2,0.886,2488,0.278,0,0
E99,8390.22,1,0.7,1194,0.53,0,0
E02,8072.43,2,0.648,2167,0.34,0,0
E03,3723.92,1,0.607,1390,0.243,1,0
E99,5839.86,2,0.752,3277,0.363,0,1
E99,3579.58,1,0.761,2178,0.805,1,1
E01,7865.12,2,0.68,467,0.157,0,0
E02,1801.13,1,0.559,348,0.309,0,0
E03,2245.05,1,0.74,2820,0.551,1,1
E01,483.07,1,0.325,2620,0.427,0,1
E02,6128.5,1,0.641,2627,0.828,1,1
E99,6916.53,2,0.615,1199,0.782,1,0
E99,133.29,0,0.628,2424,0.687,1,1
E99,5156.78,2,0.609,976,0.316,0,0
E03,3831.06,2,0.8,2297,0.07,1,1
E01,7944.57,2,0.806,1183,0.345,0,0
E01,485.02,1,0.464,448,0.615,1,1
E02,580.8,2,0.481,2995,0.145,1,0
E02,6240.07,0,0.213,2930,0.824,0,1
E02,5957.22,1,0.291,2821,0.977,0,1
E03,8327.79,2,0.41,2286,0.743,1,0
E02,5963.44,2,0.813,2300,0.44,1,1
E03,9498.77,1,0.838,2777,0.799,0,0
E01,3212.41,1,0.398,2029,0.306,0,1
E01,4039.42,2,0.896,3154,0.947,0,0
E01,9778.98,2,0.501,2758,0.395,0,0
E01,1164.49,2,0.838,1953,0.698,1,1
E99,7979.46,1,0.573,2113,0.068,1,0
E02,214.53,2,0.77,3444,0.643,0,0
E01,4916.48,1,0.485,1817,0.328,1,1
E03,1618.68,1,0.256,394,0.146,1,1
E02,6028.73,2,0.403,3036,0.458,0,0
E01,8001.88,1,0.758,15,0.15,0,0
E01,427.12,0,0.934,889,0.224,1,1
E01,1721.35,2,0.703,1188,0.891,0,1
E03,3491.84,1,0.815,94,0.11,0,0
E01,2632.41,0,0.211,780,0.637,0,1
E01,3893.88,1,0.808,634,0.107,1,1
E01,9523.5,0,0.868,1993,0.725,0,1
E02,1101.94,2,0.53,3169,0.969,1,0
E01,4290.49,2,0.595,1009,0.454,0,0
E03,4625.2,0,0.242,1407,0.96,1,1
E01,2875.39,2,0.34,2477,0.653,0,0
E03,2857.21,2,0.245,2427,0.61,1,0
E02,7176.05,2,0.785,3403,0.211,0,0
E02,6216.65,0,0.84,1881,0.945,0,1
E01,8147.04,0,0.287,2769,0.86,0,0
E03,4110.22,2,0.937,3043,0.174,1,0
E99,6106.44,0,0.872,1513,0.077,0,0
E01,8946.52,1,0.661,3012,0.388,0,0
E01,8528.15,2,0.983,3547,0.2,1,0
E99,9208.23,1,0.906,431,0.366,0,1
E02,2762.85,0,0.378,2776,0.951,1,1
E01,9855.67,2,0.963,2244,0.86,1,1
E01,8182.26,1,0.554,2919,0.464,1,0
E03,7968.6,0,0.324,1977,0.309,1,0
E03,6709.03,1,0.36,737,0.593,0,0
E02,9834.35,1,0.747,1544,0.931,0,1
E99,4471.48,2,0.99,2473,0.793,1,0
E02,7441.24,0,0.556,3227,0.866,1,1
E01,7018.23,1,0.659,255,0.765,1,1
E02,7347.68,0,0.44,676,0.523,0,1
E02,7539.5,0,0.876,847,0.183,0,1
E01,1988.48,0,0.292,2129,0.819,1,0
E01,3555.61,1,0.666,60,0.662,1,0
E02,3983.31,1,0.669,3428,0.776,0,1
E03,7505.2,0,0.201,2539,0.74,1,0
E01,7190.85,0,0.952,3259,0.281,1,1
E02,8350.33,2,0.979,76,0.319,0,0
E03,7906.34,0,0.574,989,0.855,0,0
E03,6000.74,1,0.781,1617,0.433,0,0
E03,1485.49,0,0.879,2774,0.217,1,1
E03,6391.01,1,0.293,2336,0.654,1,0
E03,8881.89,2,0.268,1505,0.33,0,0
E01,6467.43,1,0.751,1098,0.654,0,1
E02,8966.7,1,0.648,1191,0.605,0,1
E03,9990.62,0,0.744,1322,0.673,0,0
E01,3656.1,0,0.658,2482,0.984,1,1
E01,7260.57,0,0.781,3125,0.311,0,0
E01,5445.59,1,0.324,1715,0.967,0,0
E02,4604.22,2,0.372,3245,0.768,0,0
E02,2474.68,0,0.39,1080,0.854,0,1
E01,2534.55,1,0.533,3091,0.804,0,0
E03,1931.23,2,0.808,4,0.072,0,0
E99,6351.69,1,0.865,2700,0.523,0,1
E01,1506.33,2,0.521,3418,0.149,0,0
E99,4370.73,1,0.682,999,0.683,1,1
E01,5281.0,1,0.436,2454,0.106,0,0
E99,4438.52,2,0.581,269,0.081,0,0
E99,8563.8,1,0.953,3064,0.902,1,0
E01,4487.38,2,0.415,1759,0.912,1,0
E03,920.04,2,0.83,1529,0.636,0,0
E99,9922.78,0,0.234,3327,0.482,1,0
E99,8465.34,0,0.476,3332,0.829,0,0
E99,6634.43,1,0.727,804,0.956,0,0
E02,7587.6,1,0.821,3454,0.101,0,0
E01,1369.09,1,0.674,755,0.147,1,1
E03,7682.56,1,0.895,2924,0.901,1,1
E03,2156.71,2,0.857,2806,0.143,1,0
E03,4940.86,2,0.694,1814,0.721,0,0
E02,1862.03,2,0.478,2131,0.57,0,0
E02,7562.47,0,0.491,1419,0.54,1,0
E01,2534.75,2,0.692,1456,0.142,0,0
E03,2606.76,2,0.725,1854,0.735,1,0
E01,1181.3,2,0.516,3105,0.616,1,1
E03,7234.0,1,0.518,1739,0.923,1,1
E03,3028.86,1,0.341,2097,0.502,1,0
E02,5230.97,1,0.2,2547,0.908,0,0
E02,3389.21,1,0.569,3313,0.223,0,1
E01,7769.54,0,0.865,3097,0.242,0,0
E99,2342.19,1,0.813,1325,0.942,1,1
E03,9414.26,0,0.995,3108,0.143,0,0
E02,3281.27,2,0.736,1599,0.272,1,1
E01,1128.13,2,0.387,339,0.183,1,1
E01,2479.02,0,0.742,268,0.717,1,1
E02,832.02,0,0.863,740,0.783,0,1
E99,4740.51,1,0.713,1324,0.897,1,0
E03,2577.49,2,0.585,1441,0.188,0,0
E01,8871.86,0,0.695,647,0.352,0,1
E99,5219.57,1,0.221,642,0.348,1,0
E02,2410.35,0,0.412,119,0.965,0,1
E99,4567.58,2,0.326,3281,0.598,1,0
E01,2040.34,2,0.531,921,0.367,0,0
E03,1869.42,0,0.914,2336,0.331,1,1
E99,3076.5,0,0.35,1766,0.35,0,0
E01,1172.18,0,0.257,1297,0.719,0,0
E03,1967.61,2,0.822,891,0.566,1,0
E99,9386.66,2,0.894,232,0.636,0,0
E01,6701.35,1,0.625,393,0.492,1,1
E01,9218.92,0,0.501,2438,0.075,0,1
E03,2642.78,1,0.544,1626,0.696,1,1
E01,8584.43,2,0.727,3484,0.731,1,0
E01,3686.5,2,0.865,533,0.219,0,1
E02,1527.53,1,0.352,3348,0.66,1,1
E03,8066.6,2,0.922,310,0.875,0,0
E01,690.54,2,0.726,2638,0.617,0,1
E01,4108.04,2,0.791,3456,0.678,0,0
E03,8211.22,1,0.27,555,0.709,1,1
E02,6210.13,0,0.935,1713,0.355,0,1
E03,5228.85,1,0.623,3313,0.195,1,0
E02,3600.98,1,0.49,2888,0.494,1,1
E99,843.05,2,0.519,786,0.268,1,0
E03,9910.62,2,0.434,615,0.696,1,0
E01,1830.26,2,0.33,1216,0.722,1,0
E99,2627.55,2,0.228,1662,0.058,1,0
E02,2435.57,1,0.412,1059,0.947,1,1
E01,9088.62,2,0.597,324,0.92,1,1
E01,7660.52,1,0.733,1792,0.174,1,1
E03,4627.57,2,0.787,1483,0.499,0,0
E01,9558.69,0,0.676,1100,0.246,1,1
E01,622.56,0,0.293,2975,0.956,0,1
E01,8947.34,0,0.545,1044,0.582,1,1
E02,698.23,0,0.734,3213,0.708,1,1
E02,3972.19,2,0.795,41,0.969,1,0
E02,634.65,2,0.46,1868,0.683,0,0
E01,9989.79,0,0.943,3420,0.869,0,1
E01,9152.46,1,0.836,1031,0.276,0,1
E03,5889.51,2,0.881,2358,0.266,0,0
E02,2256.66,2,0.733,2640,0.465,0,1
E03,2840.1,1,0.531,1233,0.879,1,1
E01,4550.48,1,0.947,2300,0.087,1,1
E01,3295.52,0,0.921,2348,0.465,0,0
E01,311.01,2,0.863,1694,0.825,1,1
E02,6596.93,0,0.913,1356,0.217,1,0
E02,6172.94,2,0.933,1711,0.629,0,0
E03,9052.68,2,0.797,537,0.116,0,0
E02,4820.85,0,0.36,1776,0.06,1,0
E02,3512.62,1,0.631,1171,0.35,0,0
E02,5164.02,2,0.693,1221,0.807,0,1
E01,2027.48,1,0.819,884,0.089,0,1
E02,6292.85,0,0.596,1868,0.393,0,0
E01,7723.33,0,0.61,28,0.735,0,1
E02,1619.27,1,0.996,207,0.397,0,1
E01,3251.99,0,0.562,752,0.5,1,1
E03,8691.23,2,0.304,2053,0.52,0,0
E99,5104.76,2,0.768,925,0.903,0,0
E01,5365.18,0,0.49,1786,0.873,1,1
E03,7251.84,0,0.399,533,0.11,0,0
E03,5821.14,0,0.703,1514,0.701,0,0
E01,788.84,1,0.963,1633,0.56,1,0
E03,8059.22,2,0.45,1167,0.383,1,0
E03,9236.08,0,0.498,179,0.513,0,1
E99,627.44,2,0.572,2238,0.877,1,1
E99,1300.37,2,0.75,733,0.777,1,0
E01,7049.55,0,0.517,1746,0.584,0,0
E02,6084.29,0,0.54,2554,0.215,0,0
E02,3886.92,2,0.761,363,0.632,1,1
E01,5438.56,1,0.988,2443,0.518,1,1
E01,7063.05,1,0.453,1348,0.47,0,0
E99,5094.32,0,0.668,1813,0.937,0,1
E01,1487.86,1,0.836,276,0.983,0,1
E02,985.42,1,0.37,1798,0.944,1,1
E03,4444.7,2,0.855,1365,0.745,0,0
E01,9236.56,1,0.484,642,0.613,0,0
E02,5622.01,1,0.289,1918,0.35,1,0
E99,3646.38,0,0.22,2342,0.94,1,1
E02,9096.19,2,0.226,1408,0.478,0,0
E01,3947.46,2,0.838,2284,0.24,0,1
E01,5140.55,2,0.74,1230,0.154,0,0
E99,1253.34,2,0.835,2989,0.836,1,1
E01,7400.27,2,0.802,1012,0.358,0,0
E02,7033.0,2,0.505,2874,0.77,0,0
E01,7963.02,2,0.946,1374,0.64,1,0
E02,3319.39,1,0.902,2009,0.317,0,1
E99,4416.93,0,0.479,250,0.85,1,0
E02,1766.58,0,0.818,268,0.844,0,1
E99,9648.6,2,0.856,3578,0.212,1,0
E01,952.17,2,0.591,28,0.164,0,0
E02,6525.23,1,0.296,1999,0.614,1,1
E99,7082.05,2,0.467,1646,0.269,0,0
E02,1661.59,0,0.991,2290,0.362,0,1
E01,3716.7,1,0.773,14,0.931,0,1
E99,526.95,1,0.82,660,0.215,0,0
E02,5610.42,0,0.93,1220,0.492,1,1
E02,9949.89,2,0.362,3324,0.327,0,0
E99,4355.86,1,0.975,1259,0.377,0,1
E01,9901.08,0,0.615,2056,0.398,0,1
E01,1349.63,2,0.796,2064,0.294,1,0
E01,3985.3,1,0.455,1492,0.768,1,0
E02,9029.45,1,0.464,2984,0.813,0,0
E01,8779.29,1,0.488,2567,0.557,1,1
E03,3303.56,1,0.478,1599,0.895,0,0
E01,6818.24,1,0.25,1096,0.178,0,1
E03,8872.99,2,0.448,1000,0.526,1,0
E01,7692.09,2,0.718,3364,0.829,1,0
E02,6321.91,1,0.922,454,0.634,0,0
E01,1610.5,0,0.233,610,0.976,0,1
E03,822.73,0,0.213,943,0.61,0,0
E02,6184.76,2,0.674,2999,0.952,1,1
E02,5052.73,0,0.76,2477,0.143,1,0
E99,2456.56,2,0.687,3479,0.09,0,1
E02,2998.42,1,0.978,2598,0.385,1,0
E01,3981.66,1,0.383,1770,0.841,1,1
E99,5005.66,0,0.585,145,0.097,1,0
E01,3963.56,1,0.933,3156,0.287,1,1
E01,3934.19,2,0.694,2411,0.976,0,0
E02,1245.75,0,0.662,258,0.653,0,1
E01,8669.35,2,0.946,3494,0.42,1,1
E01,6130.63,0,0.471,2234,0.123,0,0
E03,1546.41,1,0.326,2231,0.76,1,1
E01,4296.36,1,0.303,1283,0.92,1,0
E03,4225.49,2,0.857,1191,0.747,1,0
E99,6046.15,0,0.886,1312,0.159,1,1
E03,6127.81,1,0.387,181,0.55,1,0
E03,6487.7,2,0.566,1621,0.429,1,0
E03,7009.24,0,0.668,225,0.9,1,1
